category,name,url,location,description,type,source,phone,email,address
Adventure & Outdoor Operators,Elephant Jungle Sanctuary,https://www.elephantjunglesanctuary.com/,"Chiang Mai, Phuket",Ethical elephant experiences,,,,,
Adventure & Outdoor Operators,Patara Elephant Farm,https://www.pataraelephantfarm.com/,Chiang Mai,Premium elephant conservation experience,,,,,
Adventure & Outdoor Operators,Cable Ski Pattaya,https://www.thaiwakepark.com/,Pattaya,Cable wakeboarding park,,,,,
Adventure & Outdoor Operators,Thai Muay Thai,https://www.thaimuaythai.com/,"Bangkok, Phuket",Muay Thai training camps and experiences,,,,,
Adventure & Outdoor Operators,Tiger Muay Thai,https://www.tigermuaythai.com/,Phuket,MMA and Muay Thai training camp,,,+66 76 367 071,info@tigermuaythai.com,"7/35 Moo 5, Soi Ta-iad, Ao Chalong, Muang, Phuket 83130"
Adventure & Outdoor Operators,Fairtex Training Center,https://www.fairtex.com/,Pattaya,Professional Muay Thai training and fitness,,,,,
Adventure & Outdoor Operators,Monsoon Valley Vineyard,https://www.monsoonvalley.com/,Hua Hin,Wine tasting tours and vineyard experiences,,,,,
Adventure & Outdoor Operators,Chiang Dao Nest,https://www.chiangdao.com/,Chiang Dao,Nature lodges and mountain adventures,,,,,
Adventure & Outdoor Operators,Koh Yao Noi Eco,https://www.kohyaonoi.com/,Koh Yao Noi,Eco-tours and island cycling,,,,,
Adventure & Outdoor Operators,Phuket Elephant Sanctuary,https://www.phuketelephantsanctuary.org/,Phuket,Ethical elephant conservation,,,,,
Adventure & Outdoor Operators,Dragon Flight Ziplining Canopy Tour,https://dragonflightchiangmai.com,"47/2 Moonmuang Road, T. Prasing A. Muang, Chiang Mai 50200",,,xlsx-tirak-vendors,+66 81 884 5887,info@dragonflightchiangmai.com,"47/2 Moonmuang Road, T. Prasing A. Muang, Chiang Mai 50200"
Adventure & Outdoor Operators,Phoenix Adventure Park,https://phoenixadventurepark.com,"147 M.6 T. Mae Raem, A. Mae Rim, Chiang Mai 50180",,,xlsx-tirak-vendors,+66 94 753 5551,phoenixzipline@gmail.com,"147 M.6 T. Mae Raem, A. Mae Rim, Chiang Mai 50180"
Adventure & Outdoor Operators,Monjam Zipline Adventure,https://chiangmaitraveller.com,"99/9 M. 2 Pongyang, Mae Rim, Chiang Mai 50180",,,xlsx-tirak-vendors,+66 92 973 8868,pobsanookmonjam@gmail.com,"99/9 M. 2 Pongyang, Mae Rim, Chiang Mai 50180"
Adventure & Outdoor Operators,Roctopus Dive,https://roctopusdive.com,"17 Moo 1, Koh Tao, Koh Pha-ngan District, Surat Thani 84360",,,xlsx-tirak-vendors,+66 99 470 4566,info@roctopusdive.com,"17 Moo 1, Koh Tao, Koh Pha-ngan District, Surat Thani 84360"
Adventure & Outdoor Operators,Duck'n Dive Koh Tao,https://duckndivekohtao.com,"Koh Tao Hillside Dive Resort, Koh Tao, Surat Thani 84360",,,xlsx-tirak-vendors,+66 83 431 8998,info@duckndivekohtao.com,"Koh Tao Hillside Dive Resort, Koh Tao, Surat Thani 84360"
Adventure & Outdoor Operators,Phuket Paradise Trip,https://phuketparadisetrip.com,"54/2 Moo 7, Chalong, Mueang Phuket District, Phuket 83130",,,xlsx-tirak-vendors,+66 88 762 3627,phuketatvtour@gmail.com,"54/2 Moo 7, Chalong, Mueang Phuket District, Phuket 83130"
Adventure & Outdoor Operators,Phuket ATV Tour,https://atvphuket.com,"59/26 Moo 5, Srisoonthorn, Thalang District, Phuket 83110",,,xlsx-tirak-vendors,+66 89 874 0055,admin@atvphuket.com,"59/26 Moo 5, Srisoonthorn, Thalang District, Phuket 83110"
Adventure & Outdoor Operators,Railay Rock You,https://railayrockyou.com,"Railay Beach, Krabi 81000",,,xlsx-tirak-vendors,+66 81 415 5464,info@railayrockyou.com,"Railay Beach, Krabi 81000"
Adventure & Outdoor Operators,Simba Sea Trips,https://simbaseatrips.com/,Thailand,,,google-verified,,,
Adventure & Outdoor Operators,Santana Biking Chiang Mai,https://santanaadventures.com/cruises/,Thailand,,,google-verified,,,
Adventure & Outdoor Operators,Home of the Best Tours Agency Bangkok,https://www.thaiwander.com/,Thailand,Adventure tour operator in Thailand,,ddg-verified,,,
Adventure & Outdoor Operators,Thailand Tour,https://www.nstravel.com/,Thailand,Adventure tour operator in Thailand,,ddg-verified,,,
Adventure & Outdoor Operators,Wild Thailand,http://www.wildthailand.com/,Thailand,,,ddg-verified,,,
Adventure & Outdoor Operators,Thai Adventure Club,https://thaiadventureclub.com/,Thailand,,,ddg-verified,,,
