name,category,email,url,location,phone,status,email_file
Atlas One Group,Leisure & Experience DMCs,thibault@atlasonegroup.com,https://dmcfinder.com/listing/atlas-one-group-2/,"97/30 Moo 3, Kamala, Kathu, Phuket 83150, Thailand",085 221 4572,READY,Atlas_One_Group.txt
Elevate,Leisure & Experience DMCs,,https://dmcfinder.com/listing/elevate/,"Elevate Tourism LLC. Office 808, Fifty One Tower, Marasi Drive, Business Bay, Dubai PO Box: Dubai 114456 United Arab Emirates",04 216 0600,NEEDS_EMAIL,Elevate.txt
Stella Deluxe. VIP,Leisure & Experience DMCs,,https://dmcfinder.com/listing/stelladeluxe-vip/,"Phuket, Thailand",,NEEDS_EMAIL,Stella_Deluxe_VIP.txt
OXOMI,Leisure & Experience DMCs,,https://dmcfinder.com/listing/hassle-free-dmc-in-thailand-vietnam-cambodia-malaysia-bali-and-singapore/,"Phuket, Thailand",098 245 9261,NEEDS_EMAIL,OXOMI.txt
Best Deals Thailand,Leisure & Experience DMCs,,https://dmcfinder.com/listing/best-deals-thailand/,"Pattaya, Thailand",,NEEDS_EMAIL,Best_Deals_Thailand.txt
Malee Hospitality,Leisure & Experience DMCs,,https://dmcfinder.com/listing/malee-hospitality/,"Bangkok, Thailand",063 836 0210,NEEDS_EMAIL,Malee_Hospitality.txt
Paradox Resort Phuket,Leisure & Experience DMCs,,https://dmcfinder.com/listing/paradox-resort-phuket/,"Thailand, Thailand",,NEEDS_EMAIL,Paradox_Resort_Phuket.txt
TRAVELVAGO CO. LTD.,Leisure & Experience DMCs,,https://dmcfinder.com/listing/travelvago-co-ltd/,"Bangkok, Thailand",098 869 6819,NEEDS_EMAIL,TRAVELVAGO_CO_LTD.txt
Grand Sea Discovery,Leisure & Experience DMCs,,https://dmcfinder.com/listing/grand-sea-discovery-co-ltd/,"Koh Samui, Thailand",+66 9419714585,NEEDS_EMAIL,Grand_Sea_Discovery.txt
NNS Luxury Limousine,Leisure & Experience DMCs,,https://dmcfinder.com/listing/nns-luxury-limousine/,"Bangkok, Thailand",064 194 9666,NEEDS_EMAIL,NNS_Luxury_Limousine.txt
Recreational Bangkok Biking,Leisure & Experience DMCs,,https://dmcfinder.com/listing/recreational-bangkok-biking-co-ltd/,"Bangkok, Thailand",+66 02 107 2500,NEEDS_EMAIL,Recreational_Bangkok_Biking.txt
Vacay Thailand,Leisure & Experience DMCs,,https://dmcfinder.com/listing/vacay-thailand/,"Bangkok, Thailand",086 342 9526,NEEDS_EMAIL,Vacay_Thailand.txt
Laemsingh Villa 3,Leisure & Experience DMCs,,https://dmcfinder.com/listing/laemsingh-villa-3/,"Phuket, Thailand",,NEEDS_EMAIL,Laemsingh_Villa_3.txt
Villa Baan Hen,Leisure & Experience DMCs,,https://dmcfinder.com/listing/villa-baan-hen/,"Phuket, Thailand",,NEEDS_EMAIL,Villa_Baan_Hen.txt
Villa Baan Paradise,Leisure & Experience DMCs,,https://dmcfinder.com/listing/villa-baan-paradise/,"Phuket, Thailand",,NEEDS_EMAIL,Villa_Baan_Paradise.txt
Pra Nang Villa,Leisure & Experience DMCs,,https://dmcfinder.com/listing/pra-nang-villa/,"Phuket, Thailand",,NEEDS_EMAIL,Pra_Nang_Villa.txt
Yacht Phuket Trip,Leisure & Experience DMCs,,https://dmcfinder.com/listing/yacht-phuket-trip/,"Phuket, Thailand",081 928 8240,NEEDS_EMAIL,Yacht_Phuket_Trip.txt
Tic Tours,Leisure & Experience DMCs,,https://dmcfinder.com/listing/tic-tours/,"Bangkok, Thailand",098957 5769,NEEDS_EMAIL,Tic_Tours.txt
TAG Travel Asia,Leisure & Experience DMCs,,https://dmcfinder.com/listing/tag-travel-asia/,"Bangkok, Thailand",+66 2 115 5456,NEEDS_EMAIL,TAG_Travel_Asia.txt
Royal Vacation Co. LTD,Leisure & Experience DMCs,,https://dmcfinder.com/listing/royal-vacation-co-ltd/,"Bangkok, Thailand",+66 2 282 3167,NEEDS_EMAIL,Royal_Vacation_Co_LTD.txt
"Travools Services (Thailand) Co., Ltd",Leisure & Experience DMCs,,https://dmcfinder.com/listing/travools-services-thailand-co-ltd/,"Pattaya City, Thailand",097 254 9695,NEEDS_EMAIL,Travools_Services_Thailand_Co_Ltd.txt
M&M Excellence Asia,Leisure & Experience DMCs,,https://dmcfinder.com/listing/mm-excellence-asia/,"Phuket, Thailand",086 940 0379,NEEDS_EMAIL,MM_Excellence_Asia.txt
RedFox Events Co Ltd,Leisure & Experience DMCs,,https://dmcfinder.com/listing/redfox-events-co-ltd/,"Bangkok, Thailand",+66 2 108 5184,NEEDS_EMAIL,RedFox_Events_Co_Ltd.txt
MUNDO NOMADA TRAVEL,Leisure & Experience DMCs,,https://dmcfinder.com/listing/mundo-nomada-travel/,"Bangkok, Thailand",082 051 7366,NEEDS_EMAIL,MUNDO_NOMADA_TRAVEL.txt
"Asia Travel and estate Co.,Ltd.",Leisure & Experience DMCs,,https://dmcfinder.com/listing/asia-travel-and-estate-co-ltd/,"Bangkok, Thailand",081 084 1259,NEEDS_EMAIL,Asia_Travel_and_estate_CoLtd.txt
Thai Sabai Life Co. Ltd. / Boost Incentive,Leisure & Experience DMCs,,https://dmcfinder.com/listing/thai-sabai-life-co-ltd-boost-incentive/,"Bangkok, Thailand",+66 2 012 3456,NEEDS_EMAIL,Thai_Sabai_Life_Co_Ltd_Boost_Incentive.txt
Phuket Event Company MICE  DMC Bangkok Thailand,Leisure & Experience DMCs,info@phuketeventcompany.com,https://dmcfinder.com/listing/phuket-event-company-mice-dmc-bangkok-thailand/,"Bangkok, Thailand",+66 65 749 5221,READY,Phuket_Event_Company_MICE_DMC_Bangkok_Thailand.txt
DISCOVA,Leisure & Experience DMCs,,https://dmcfinder.com/listing/discova/,"Bangkok, Thailand",+66 2 318 8400,NEEDS_EMAIL,DISCOVA.txt
Asia Bespoke Tours,Leisure & Experience DMCs,,https://dmcfinder.com/listing/asia-bespoke-tours/,"Bangkok, Thailand",+66 2 222 3333,NEEDS_EMAIL,Asia_Bespoke_Tours.txt
TAGG Travel,Leisure & Experience DMCs,,https://dmcfinder.com/listing/tagg-travel/,"Bangkok, Thailand",083 544 6644,NEEDS_EMAIL,TAGG_Travel.txt
Asian Trails,Leisure & Experience DMCs,,https://dmcfinder.com/listing/asian-trails/,"Bangkok, Thailand",+66 2 626 2000,NEEDS_EMAIL,Asian_Trails.txt
8th Wave Events & Destinations,Leisure & Experience DMCs,,https://dmcfinder.com/listing/8th-wave-events-destinations/,"Bangkok, Thailand",+66 2 105 4641,NEEDS_EMAIL,8th_Wave_Events_Destinations.txt
Asiaiza,Leisure & Experience DMCs,,https://dmcfinder.com/listing/asiaiza/,"Bangkok, Thailand",,NEEDS_EMAIL,Asiaiza.txt
Meeting and Convention Planner Thailand,Leisure & Experience DMCs,,https://dmcfinder.com/listing/meeting-and-convention-planner-thailand/,"Bangkok, Thailand",081 453 4316,NEEDS_EMAIL,Meeting_and_Convention_Planner_Thailand.txt
CDM – Conference & Destination Management -EUROMIC Thailand,Leisure & Experience DMCs,,https://dmcfinder.com/listing/cdm-conference-destination-management-euromic-thailand/,"Bangkok, Thailand",+66 02 965 8909,NEEDS_EMAIL,CDM_Conference_Destination_Management_-EUROMIC_Thailand.txt
CDM-Conference & Destination Management,Leisure & Experience DMCs,,https://dmcfinder.com/listing/cdm-conference-destination-management/,"Bangkok, Thailand",+66 02 965 8909,NEEDS_EMAIL,CDM-Conference_Destination_Management.txt
"Nouveau Siam Travel Co., LTD.",Leisure & Experience DMCs,,https://dmcfinder.com/listing/nouveau-siam-travel-co-ltd/,"Bangkok, Thailand",+66 02 965 8874,NEEDS_EMAIL,Nouveau_Siam_Travel_Co_LTD.txt
"GAT International Co.,Ltd.",Leisure & Experience DMCs,,https://dmcfinder.com/listing/gat-international-co-ltd/,"Bangkok, Thailand",089 897 7700,NEEDS_EMAIL,GAT_International_CoLtd.txt
Asia World Enterprise,Leisure & Experience DMCs,,https://dmcfinder.com/listing/asia-world-ent/,"Bangkok, Thailand",,NEEDS_EMAIL,Asia_World_Enterprise.txt
Go Vacation,Leisure & Experience DMCs,info@go-vacation.com,https://dmcfinder.com/listing/go-vacation/,"Bangkok, Thailand",+66 2 267 1202,READY,Go_Vacation.txt
Ovation – Oriental Events,Leisure & Experience DMCs,,https://dmcfinder.com/listing/ovation-oriental-events/,"Bangkok, Thailand",081 895 5664,NEEDS_EMAIL,Ovation_Oriental_Events.txt
The Sukhothai Bangkok,Leisure & Experience DMCs,,https://dmcfinder.com/listing/the-sukhothai-bangkok/,"Bangkok, thailand",,NEEDS_EMAIL,The_Sukhothai_Bangkok.txt
The Berkeley Hotel Pratunam,Leisure & Experience DMCs,,https://dmcfinder.com/listing/the-berkeley-hotel-pratunam/,"Bangkok, thailand",+66 87 547 3936,NEEDS_EMAIL,The_Berkeley_Hotel_Pratunam.txt
Sawaddi Patong REsort & Spa,Leisure & Experience DMCs,,https://dmcfinder.com/listing/sawaddi-patong-resort-spa/,"Phuket, thailand",+66 81 824 0565,NEEDS_EMAIL,Sawaddi_Patong_REsort_Spa.txt
Renaissance Koh Samui Resort & Spa,Leisure & Experience DMCs,,https://dmcfinder.com/listing/renaissance-koh-samui-resort-spa/,"Koh Samui, thailand",+66 77 429 300,NEEDS_EMAIL,Renaissance_Koh_Samui_Resort_Spa.txt
Avani+ Riverside Bangkok Hotel,Leisure & Experience DMCs,,https://dmcfinder.com/listing/avani-riverside-bangkok-hotel/,"Bangkok, thailand",,NEEDS_EMAIL,Avani_Riverside_Bangkok_Hotel.txt
The Vijitt Resort Phuket,Leisure & Experience DMCs,,https://dmcfinder.com/listing/the-vijitt-resort-phuket/,"Phuket, thailand",+66 76 363 600,NEEDS_EMAIL,The_Vijitt_Resort_Phuket.txt
The Nature Phuket,Leisure & Experience DMCs,,https://dmcfinder.com/listing/the-nature-phuket/,"Phuket, thailand",+66 76 681 789,NEEDS_EMAIL,The_Nature_Phuket.txt
RAMA GARDENS HOTEL BANGKOK,Leisure & Experience DMCs,,https://dmcfinder.com/listing/rama-gardens-hotel-bangkok/,"Bangkok, thailand",,NEEDS_EMAIL,RAMA_GARDENS_HOTEL_BANGKOK.txt
THE REGENT CHAAM BEACH RESORT,Leisure & Experience DMCs,,https://dmcfinder.com/listing/the-regent-chaam-beach-resort/,"Cha-am, thailand",+66 2 255 2818,NEEDS_EMAIL,THE_REGENT_CHAAM_BEACH_RESORT.txt
Banyan Tree Bangkok,Leisure & Experience DMCs,,https://dmcfinder.com/listing/banyan-tree-bangkok/,"Bangkok, thailand",,NEEDS_EMAIL,Banyan_Tree_Bangkok.txt
Angsana  Laguna  Phuket,Leisure & Experience DMCs,,https://dmcfinder.com/listing/angsana-laguna-phuket/,"Phuket, thailand",+66 82 629 1321,NEEDS_EMAIL,Angsana_Laguna_Phuket.txt
Royal Cliff Hotels Group,Leisure & Experience DMCs,,https://dmcfinder.com/listing/royal-cliff-hotels-group/,"Pattaya City, thailand",+66 38 250 421,NEEDS_EMAIL,Royal_Cliff_Hotels_Group.txt
Anantara Hua Hin Resort,Leisure & Experience DMCs,,https://dmcfinder.com/listing/anantara-hua-hin-resort/,"Hua Hin, thailand",+66 32 520 250,NEEDS_EMAIL,Anantara_Hua_Hin_Resort.txt
Novotel Phuket Resort,Leisure & Experience DMCs,,https://dmcfinder.com/listing/novotel-phuket-resort/,"Pa Tong, thailand",+66 76 342 777,NEEDS_EMAIL,Novotel_Phuket_Resort.txt
Hotel Nikko Bangkok,Leisure & Experience DMCs,,https://dmcfinder.com/listing/hotel-nikko-bangkok/,"Bangkok, thailand",,NEEDS_EMAIL,Hotel_Nikko_Bangkok.txt
Royal Orchid Sheraton Hotel & Towers,Leisure & Experience DMCs,,https://dmcfinder.com/listing/royal-orchid-sheraton-hotel-towers/,"Bangkok, thailand",+66 61 415 9680,NEEDS_EMAIL,Royal_Orchid_Sheraton_Hotel_Towers.txt
AMBASSADOR HOTEL BANGKOK,Leisure & Experience DMCs,,https://dmcfinder.com/listing/ambassador-hotel-bangkok/,"Bangkok, thailand",,NEEDS_EMAIL,AMBASSADOR_HOTEL_BANGKOK.txt
Prince Palace Hotel,Leisure & Experience DMCs,,https://dmcfinder.com/listing/prince-palace-hotel/,"Bangkok, thailand",+66 89 447 7082,NEEDS_EMAIL,Prince_Palace_Hotel.txt
Kata Sea Breeze Resort,Leisure & Experience DMCs,,https://dmcfinder.com/listing/kata-sea-breeze-resort/,"Phuket, thailand",+66 76 609 088,NEEDS_EMAIL,Kata_Sea_Breeze_Resort.txt
Beach Republic,Leisure & Experience DMCs,,https://dmcfinder.com/listing/beach-republic/,"Ko Samui, thailand",+66 92 264 2910,NEEDS_EMAIL,Beach_Republic.txt
Devasom Khao Lak Beach Resort & Villas,Leisure & Experience DMCs,,https://dmcfinder.com/listing/devasom-khao-lak-beach-resort-villas/,"Phang-nga, thailand",+66 81 728 8948,NEEDS_EMAIL,Devasom_Khao_Lak_Beach_Resort_Villas.txt
Anantara Bophut Koh Samui Resort,Leisure & Experience DMCs,,https://dmcfinder.com/listing/anantara-bophut-koh-samui-resort/,"Koh Samui, thailand",+66 62 142 6516,NEEDS_EMAIL,Anantara_Bophut_Koh_Samui_Resort.txt
Mode Sathorn Hotel,Leisure & Experience DMCs,,https://dmcfinder.com/listing/mode-sathorn-hotel/,"Bangkok, thailand",+66 2 623 4555,NEEDS_EMAIL,Mode_Sathorn_Hotel.txt
MICE Thailand (Net),MICE & Event DMCs,info@micethailand.net,https://micethailand.net/,"Bangkok, Phuket",065-749-5221,READY,MICE_Thailand_Net.txt
MICE Magic Thailand,MICE & Event DMCs,sales@micemagicthailand.com,https://www.micemagicthailand.com/,Bangkok,+66988582388,READY,MICE_Magic_Thailand.txt
MC Planner (MICE Service),MICE & Event DMCs,,http://www.miceservice.com/,Bangkok,0791005842,NEEDS_EMAIL,MC_Planner_MICE_Service.txt
Phuket Event Company,MICE & Event DMCs,info@phuketeventcompany.com,https://www.phuketeventcompany.com/,"Phuket, Bangkok",+66 65 749 5221,READY,Phuket_Event_Company.txt
Royal Vacation DMC,MICE & Event DMCs,rsvn@royalvacationtours.com,https://royalvacationdmc.com/,Bangkok,+6623470613,READY,Royal_Vacation_DMC.txt
ITC Travel MICE,MICE & Event DMCs,,https://www.itc.travel/mice,Bangkok,028320777,NEEDS_EMAIL,ITC_Travel_MICE.txt
MCI Thailand,MICE & Event DMCs,hellouk@wearemci.com,https://www.wearemci.com/,Bangkok,0 3530 0100,READY,MCI_Thailand.txt
Thailand Convention & Exhibition Bureau,MICE & Event DMCs,info@tceb.or.th,https://www.businesseventsthailand.com/,Bangkok,"019                                

                                    2020                                

                                    2021",READY,Thailand_Convention_Exhibition_Bureau.txt
CWT Meetings & Events Thailand,MICE & Event DMCs,,https://www.mycwt.com/,Bangkok,068514591,NEEDS_EMAIL,CWT_Meetings_Events_Thailand.txt
HIS Thailand,MICE & Event DMCs,tha-yoyaku@his-world.com,https://www.his-bkk.com/,Bangkok,02-022-0908,READY,HIS_Thailand.txt
Reed Tradex Thailand,MICE & Event DMCs,,https://www.reedtradex.com/,Bangkok,09-4403-9988,NEEDS_EMAIL,Reed_Tradex_Thailand.txt
Index Creative Village,MICE & Event DMCs,feedback@index-creative.com,https://www.indexcreativevillage.com/,Bangkok,"025
2024
2023",READY,Index_Creative_Village.txt
IMPACT Exhibition Management,MICE & Event DMCs,info@impact.co.th,https://www.impact.co.th/,Bangkok,082-737-7488,READY,IMPACT_Exhibition_Management.txt
Bangkok Convention Centre,MICE & Event DMCs,,https://www.bcc.co.th/,Bangkok,0689853022,NEEDS_EMAIL,Bangkok_Convention_Centre.txt
BITEC Bangkok,MICE & Event DMCs,,https://www.bitec.co.th/,Bangkok,02-726-1999,NEEDS_EMAIL,BITEC_Bangkok.txt
Centara Convention Centre,MICE & Event DMCs,,https://www.centarahotelsresorts.com/,"Bangkok, Pattaya",0444556454,NEEDS_EMAIL,Centara_Convention_Centre.txt
Avani+ Convention Hotel,MICE & Event DMCs,,https://www.avanihotels.com/,Bangkok,+66 2 365 9110,NEEDS_EMAIL,Avani_Convention_Hotel.txt
Amari Events Thailand,MICE & Event DMCs,,https://www.amari.com/,"Bangkok, Phuket",+66 7730 0306,NEEDS_EMAIL,Amari_Events_Thailand.txt
Anantara MICE,MICE & Event DMCs,,https://www.anantara.com/,Multiple,000 800 040,NEEDS_EMAIL,Anantara_MICE.txt
Banyan Tree MICE Bangkok,MICE & Event DMCs,,https://www.banyantree.com/,Bangkok,,NEEDS_EMAIL,Banyan_Tree_MICE_Bangkok.txt
Dusit MICE,MICE & Event DMCs,info.aksj@dusit.com,https://www.dusit.com/,Bangkok,0313095458,READY,Dusit_MICE.txt
Sheraton Grande Bangkok Events,MICE & Event DMCs,,https://www.marriott.com/,Bangkok,,NEEDS_EMAIL,Sheraton_Grande_Bangkok_Events.txt
SO Bangkok Events,MICE & Event DMCs,h6835@so-hotels.com,https://www.so-bangkok.com/,Bangkok,+66 2624 0000,READY,SO_Bangkok_Events.txt
Event Pop Thailand,MICE & Event DMCs,,https://www.eventpop.me/,Bangkok,0809013446,NEEDS_EMAIL,Event_Pop_Thailand.txt
Eventbrite Thailand,MICE & Event DMCs,,https://www.eventbrite.com/,Bangkok,023949 113,NEEDS_EMAIL,Eventbrite_Thailand.txt
Asia Exhibition & Conferences,MICE & Event DMCs,,https://www.aecasia.com/,Bangkok,,NEEDS_EMAIL,Asia_Exhibition_Conferences.txt
Dream Incentive Thailand,MICE & Event DMCs,info@dreamincentive.com,https://www.dreamincentive.com/,Bangkok,0216451334,READY,Dream_Incentive_Thailand.txt
Onyx Hospitality Events,MICE & Event DMCs,,https://www.onyx-hospitality.com/,Bangkok,02 255 3767,NEEDS_EMAIL,Onyx_Hospitality_Events.txt
Minor Hotels Events,MICE & Event DMCs,,https://www.minorhotels.com/,Multiple,+66 0 2365 9115,NEEDS_EMAIL,Minor_Hotels_Events.txt
Cape & Kantary Events,MICE & Event DMCs,enquiries@capekantaryhotels.com,https://www.capekantaryhotels.com/,Multiple,+6622533791,READY,Cape_Kantary_Events.txt
Siam Piwat Events,MICE & Event DMCs,,https://www.siampiwat.com/,Bangkok,0281232745,NEEDS_EMAIL,Siam_Piwat_Events.txt
True Arena Hua Hin,MICE & Event DMCs,,https://www.truearena.com/,Hua Hin,,NEEDS_EMAIL,True_Arena_Hua_Hin.txt
Laguna Phuket Events,MICE & Event DMCs,info@lagunaphuket.com,https://www.lagunaphuket.com/,Phuket,076-304-504,READY,Laguna_Phuket_Events.txt
Kata Group Events,MICE & Event DMCs,reservation@katathani.com,https://www.katathani.com/,Phuket,+66 76 330 124,READY,Kata_Group_Events.txt
Live International Thailand,MICE & Event DMCs,,https://www.liveinternational.com/,Bangkok,,NEEDS_EMAIL,Live_International_Thailand.txt
Limousine.in.th,Transport & Transfer Services,info@limousine.in.th,https://limousine.in.th/,Bangkok,+668-007-007,READY,Limousineinth.txt
Elife Limo,Transport & Transfer Services,support@elifelimo.com,https://elifelimo.com/,Bangkok,00 814 4204,READY,Elife_Limo.txt
Oriental Escape Transfer,Transport & Transfer Services,contact@orientalescape.com,https://www.orientalescape.com/transfer/thailand,Bangkok,091-007-0007,READY,Oriental_Escape_Transfer.txt
Blacklane Thailand,Transport & Transfer Services,,https://www.blacklane.com/en/airport-transfer-bangkok/,Bangkok,0 2019959,NEEDS_EMAIL,Blacklane_Thailand.txt
First Class Bangkok,Transport & Transfer Services,info@firstclassbangkok.com,https://www.firstclassbangkok.com/,Bangkok,0-1255-5301,READY,First_Class_Bangkok.txt
GB Limousine,Transport & Transfer Services,5991booking@ground-business.com,https://gblimousine.net/,Bangkok,+66 2 821 5991,READY,GB_Limousine.txt
Thai Taxis,Transport & Transfer Services,info@thaitaxis.com,https://www.thaitaxis.com/,"Bangkok, Pattaya",0592045807,READY,Thai_Taxis.txt
Thai Limo,Transport & Transfer Services,,https://www.thailimo.com/,Bangkok,,NEEDS_EMAIL,Thai_Limo.txt
AirportTransfer.com Thailand,Transport & Transfer Services,at@airporttransfer.com,https://www.airporttransfer.com/,Multiple,0-4432-875,READY,AirportTransfercom_Thailand.txt
Klook Thailand Transfers,Transport & Transfer Services,,https://www.klook.com/en-US/airport-transfers/city/4-bangkok-airport/,Bangkok,,NEEDS_EMAIL,Klook_Thailand_Transfers.txt
12Go Asia,Transport & Transfer Services,,https://12go.asia/,Multiple,0399999999,NEEDS_EMAIL,12Go_Asia.txt
BusOnlineTicket Thailand,Transport & Transfer Services,sales@busonlineticket.co.th,https://www.busonlineticket.co.th/,Multiple,09055580013,READY,BusOnlineTicket_Thailand.txt
Thai Railway Booking,Transport & Transfer Services,,https://www.thairailwayticket.com/,National,0791076536,NEEDS_EMAIL,Thai_Railway_Booking.txt
Bolt Thailand,Transport & Transfer Services,,https://bolt.eu/,"Bangkok, Pattaya",0318773731,NEEDS_EMAIL,Bolt_Thailand.txt
Grab Thailand,Transport & Transfer Services,,https://www.grab.com/th/,Multiple,08927 103,NEEDS_EMAIL,Grab_Thailand.txt
